Rank,Address,Name Tag,Balance,Percentage,Txn Count
54,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,,"173,392.95634821 Ether",0.14466394%,132447
55,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,,"172,592.06179937 Ether",0.14399574%,11
56,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,,"172,038.06720675 Ether",0.14353353%,82
57,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,,"171,371.28401292 Ether",0.14297723%,239
58,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,,"169,861.72849572 Ether",0.14171779%,7
59,0x8b83b9c4683aa4ec897c569010f09c6d04608163,,"169,861.72849572 Ether",0.14171779%,7
60,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,,"169,031.99351958 Ether",0.14102553%,45
61,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,,"167,720.90830506 Ether",0.13993167%,16
62,0x554f4476825293d4ad20e02b54aca13956acc40a,,"167,628.98641908 Ether",0.13985498%,11
63,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,"166,917.87487314 Ether",0.13926169%,779333
64,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,Golem: Multisig,"165,034.34311324 Ether",0.13769024%,493
65,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,,"159,723.38178711 Ether",0.13325924%,12
66,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,,"150,000.1 Ether",0.12514698%,30
67,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,,"150,000.0012345 Ether",0.12514690%,5
68,0x701c484bfb40ac628afa487b6082f084b14af0bd,,"150,000.001069 Ether",0.12514690%,32
69,0x4b4a011c420b91260a272afd91e54accdafdfc1d,,"150,000.001 Ether",0.12514690%,6
70,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,,"150,000.0006789 Ether",0.12514690%,5
71,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,,"150,000.000051 Ether",0.12514690%,5
72,0x19d599012788b991ff542f31208bab21ea38403e,,"150,000.000015 Ether",0.12514690%,5
73,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,,"150,000 Ether",0.12514690%,7
74,0xb20411c403687d1036e05c8a7310a0f218429503,,"150,000 Ether",0.12514690%,4
75,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,,"150,000 Ether",0.12514690%,37
76,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,,"150,000 Ether",0.12514690%,4
77,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,,"150,000 Ether",0.12514690%,4
78,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,,"150,000 Ether",0.12514690%,4
