from_address,tag,tag
0xa0f75491720835b36edc92d06ddc468d201e9b73,Ygov.finance: YFI Token,7
0xa0f75491720835b36edc92d06ddc468d201e9b73,Curve.fi: CRV Token,2
0xa0f75491720835b36edc92d06ddc468d201e9b73,Compound: Comptroller,1
0xa0f75491720835b36edc92d06ddc468d201e9b73,SushiSwap: SUSHI Token,1
0xa15a5fd5a3f99d52b5741476572dff8d5c96580c,Convex Finance: CVX Token,2
0xa15a5fd5a3f99d52b5741476572dff8d5c96580c,ENS: ENS Token,1
0xa4517a2b21f85f6a6a63601cea7fa4e34da92856,Curve.fi: CRV Token,8
0xa4517a2b21f85f6a6a63601cea7fa4e34da92856,Ygov.finance: YFI Token,2
0xa4517a2b21f85f6a6a63601cea7fa4e34da92856,Balancer: BAL Token,1
0xa4517a2b21f85f6a6a63601cea7fa4e34da92856,Synthetix: Proxy SNX Token,1
0xb7f1498898d70685851b5331f64bf26215f00415,Ygov.finance: YFI Token,3
0xb7f1498898d70685851b5331f64bf26215f00415,Compound: Comptroller,2
0xb7f1498898d70685851b5331f64bf26215f00415,SushiSwap: SUSHI Token,1
0xca7c767854b1e7305de07247ab85e30543d1d9c9,Ygov.finance: YFI Token,6
0xca7c767854b1e7305de07247ab85e30543d1d9c9,Curve.fi: CRV Token,1
0xca7c767854b1e7305de07247ab85e30543d1d9c9,ENS: ENS Token,1
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,Ygov.finance: YFI Token,9
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,Balancer: BAL Token,1
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,Curve.fi: CRV Token,1
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,SushiSwap: SUSHI Token,1
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,UMA: UMA Token,1
0xd5cdf14af5477adceabca130caaafd6feca56937,Compound: Comptroller,6
0xd5cdf14af5477adceabca130caaafd6feca56937,Ygov.finance: YFI Token,2
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,Ygov.finance: YFI Token,3
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,Curve.fi: CRV Token,2
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,Aave: AAVE Token,1
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,UMA: UMA Token,1
0xe6410ecbaa041a5dcde79164ca66de42a8d72bee,Ygov.finance: YFI Token,6
0xe6410ecbaa041a5dcde79164ca66de42a8d72bee,Compound: Comptroller,4
0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb,Ygov.finance: YFI Token,4
0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb,Curve.fi: CRV Token,1
0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,Ygov.finance: YFI Token,6
0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,Balancer: BAL Token,2
0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,Compound: Comptroller,2
0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,Curve.fi: CRV Token,1
0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,SushiSwap: SUSHI Token,1
0xf39d30fa570db7940e5b3a3e42694665a1449e4b,Ygov.finance: YFI Token,18
0xf39d30fa570db7940e5b3a3e42694665a1449e4b,Curve.fi: CRV Token,2
0xfac44bfdc053a9615c6b0527f44416914628a0c4,SushiSwap: SUSHI Token,2
0xfac44bfdc053a9615c6b0527f44416914628a0c4,Curve.fi: CRV Token,1
0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8,Ygov.finance: YFI Token,5
0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8,Curve.fi: CRV Token,2
0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8,Synthetix: Proxy SNX Token,1
