Rank,Address,Name Tag,Balance,Percentage,Txn Count
93,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,,"141,871.70329156 Ether",0.11836321%,68
94,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,,"139,701.32900395 Ether",0.11655247%,61
95,0x8fd589aa8bfa402156a6d1ad323fec0ecee50d9d,,"138,526.81688992 Ether",0.11557258%,91
96,0x3262f13a39efaca789ae58390441c9ed76bc658a,,"138,498.04165199 Ether",0.11554858%,22
97,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,,"135,283.676786 Ether",0.11286684%,281
98,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,,"135,188.02574159 Ether",0.11278704%,60
99,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,,"132,432.53783152 Ether",0.11048814%,57
100,0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,,"130,876.36102094 Ether",0.10918983%,59
101,0xf481b7fab9f5d0e74f21ae595a749634fb053619,,"129,231.42212764 Ether",0.10781746%,62
104,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,,"122,211.04280607 Ether",0.10196037%,3344
106,0x595faf77e533a5cd30ab5859c9a0116de8bad8db,,"120,000 Ether",0.10011570%,50
107,0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,,"120,000 Ether",0.10011570%,53
108,0x5f397b62502e255f68382791947d54c4b2d37f09,,"119,482.82052749 Ether",0.09968422%,709
109,0xf203f6ce087e91c88881d0390f54c3dcb30fcd76,,"119,119.38437862 Ether",0.09938101%,2
110,0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,,"119,060.19653535 Ether",0.09933163%,51
111,0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,,"117,773.67531856 Ether",0.09825829%,47
112,0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,,"116,255.61542554 Ether",0.09699177%,134
114,0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,,"115,315.14453103 Ether",0.09620714%,104
116,0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,,"112,000 Ether",0.09344132%,2
118,0xd9858d573a26bca124282afa21ca4f4a06eff98a,,"110,179.66948149 Ether",0.09192263%,1
119,0x8ae880b5d35305da48b63ce3e52b22d17859f293,,"107,708.2421783 Ether",0.08986072%,3
121,0xb4f4317b7885de16305d1303570879c21f378255,,"105,698.82660443 Ether",0.08818427%,124
122,0xf443864ba5d5361bbc54298551067194f980a635,,"105,698.82660443 Ether",0.08818427%,126
123,0x84bf16e7675cee22d0e0302913ccf58b45333ddf,,"105,698.82660443 Ether",0.08818427%,122
124,0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,,"105,698.82660443 Ether",0.08818427%,74
125,0x368d43c23843ca9b49dc861d80251bda6a090367,,"105,698.82660443 Ether",0.08818427%,81
126,0x79f67f689b9925710d4dda2a39d680e9cea61c81,,"105,698.82660443 Ether",0.08818427%,71
128,0x70a0a7be87deb51e1fab16d4f2bf00be1510e476,,"104,753.84358343 Ether",0.08739587%,5
129,0xbed96d0840201011df1467379a5d311e0040073a,,"103,744.75950588 Ether",0.08655400%,1
130,0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,,"102,002.99467199 Ether",0.08510085%,10
131,0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,,"101,388.61761361 Ether",0.08458827%,29
132,0x5657e633be5912c6bab132315609b51aadd01f95,,"101,051.80639112 Ether",0.08430727%,7
